Source,All Sessions,Sessions with Check-Out,Sessions with Transactions,PC_Checkout,PC_Transactions
tripadvisor.nl,6,1,0,16.6666666666667,0
wanderlog.com,6,0,0,0,0
admin.symphonygit.tambo.site,5,0,0,0,0
aol,5,0,0,0,0
bootkeyharbor.com,5,0,0,0,0
brittanyandaustinhardy.minted.us,5,1,0,20,0
faro-blanco-resort-marina.symphonygit.tambo.site,5,0,0,0,0
lasertraining.org,5,0,0,0,0
pigeonkey.net,5,0,0,0,0
places.singleplatform.com,5,0,0,0,0
singleplatform.lightning.force.com,5,0,0,0,0
tambourine.lightning.force.com,5,0,0,0,0
traveljoy.com,5,0,0,0,0
tripadvisor.cl,5,0,0,0,0
tripadvisor.it,5,0,0,0,0
us3.campaign-archive.com,5,0,0,0,0
view.ceros.com,5,0,0,0,0
ads.google.com,4,0,0,0,0
albatros.se,4,0,0,0,0
dashboard.laasie.ai,4,0,0,0,0
floridasmart.com,4,0,0,0,0
fr.tripadvisor.ca,4,1,0,25,0
link.v1ce.co.uk,4,0,0,0,0
linkedin.com,4,0,0,0,0
myintranet.trailfinders.com,4,0,0,0,0
oceanhero.today,4,0,0,0,0
search.brave.com,4,0,0,0,0
singleplatform.my.salesforce.com,4,0,0,0,0
statics.teams.cdn.office.net,4,1,0,25,0
staywanderful.looker.com,4,1,1,25,25
tripadvisor.dk,4,0,0,0,0
app.adroll.com,3,0,0,0,0
chrome,3,1,0,33.3333333333333,0
docs.google.com,3,0,0,0,0
em-ui.constantcontact.com,3,0,0,0,0
glassdoor.com,3,0,0,0,0
greatloop.org,3,0,0,0,0
herzanhirn.de,3,1,0,33.3333333333333,0
hireology.lightning.force.com,3,0,0,0,0
kenect.lightning.force.com,3,0,0,0,0
lens.google.com,3,0,0,0,0
oceandrive.com,3,1,0,33.3333333333333,0
proposalpath.com,3,1,0,33.3333333333333,0
publisher.mediaradar.com,3,0,0,0,0
restaurantguru,3,0,0,0,0
share.ozolio.com,3,0,0,0,0
simplebooklet.com,3,0,0,0,0
snapchat.com,3,0,0,0,0
sourcescrub.com,3,0,0,0,0
start.co.il,3,0,0,0,0
travefy.com,3,1,0,33.3333333333333,0
travel-42.com,3,0,0,0,0
travelweekly.com,3,0,0,0,0
tripadvisor.ch,3,0,0,0,0
tripadvisor.com.ar,3,0,0,0,0
tripadvisor.com.ph,3,2,0,66.6666666666667,0
tripadvisor.se,3,1,0,33.3333333333333,0
uk.search.yahoo.com,3,0,0,0,0
weddingwire.us,3,0,0,0,0
zola.com,3,0,0,0,0
169.254.86.202:8081,2,0,0,0,0
192.168.128.99:8081,2,0,0,0,0
2023.georgepoveromo.com,2,0,0,0,0
albatros.no,2,0,0,0,0
amexgbt.lightning.force.com,2,0,0,0,0
app.constantcontact.com,2,0,0,0,0
app.sourcescrub.com,2,0,0,0,0
cms.trip101.com,2,0,0,0,0
couponbirds.com,2,0,0,0,0
dataprocessing.burgiss.com,2,0,0,0,0
en.tripadvisor.com.hk,2,0,0,0,0
eos-investors.squarespace.com,2,0,0,0,0
es.search.yahoo.com,2,0,0,0,0
fpea.com,2,0,0,0,0
Google,2,0,0,0,0
hospitalityonline.com,2,0,0,0,0
ibiblio.org,2,0,0,0,0
islamoradachamber.com,2,0,0,0,0
jar.designpickle.com,2,0,0,0,0
keyscations.com,2,0,0,0,0
leonardowc.my.salesforce.com,2,0,0,0,0
leyton.lightning.force.com,2,0,0,0,0
link.zixcentral.com,2,0,0,0,0
localhost:44332,2,0,0,0,0
ltf.jooble.com,2,0,0,0,0
marinadockage.com,2,0,0,0,0
msn.com,2,0,0,0,0
no.tripadvisor.com,2,0,0,0,0
oursite.minted.com,2,0,0,0,0
outlines.trip101.com,2,0,0,0,0
reise-preise.de,2,0,0,0,0
resources.marinas.com,2,0,0,0,0
revinate.lightning.force.com,2,0,0,0,0
sabrehospitality.lightning.force.com,2,0,0,0,0
search.frontier.com,2,2,1,100,50
spottswood.com,2,0,0,0,0
theknotpro.com,2,0,0,0,0
